Age,Workclass,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Country
53.0,4,9.0,0,12,3,4,0,0.0,0.0,35.0,39
49.0,2,9.0,2,11,4,4,1,0.0,0.0,40.0,39
33.0,4,14.0,2,10,4,4,1,0.0,0.0,50.0,39
30.0,4,5.0,4,12,0,4,1,0.0,0.0,40.0,39
43.0,1,16.0,4,10,0,4,0,0.0,0.0,50.0,39
57.0,4,11.0,2,10,4,4,1,0.0,0.0,40.0,39
37.0,4,10.0,0,3,1,4,0,0.0,0.0,40.0,39
28.0,4,10.0,0,7,1,2,0,0.0,0.0,25.0,39
30.0,4,9.0,2,12,5,1,0,0.0,1573.0,35.0,0
34.0,2,13.0,2,11,4,4,1,0.0,0.0,40.0,39
29.0,2,10.0,4,6,0,4,1,0.0,0.0,50.0,39
48.0,6,16.0,2,10,4,4,1,0.0,1902.0,60.0,39
37.0,4,10.0,2,12,4,4,1,0.0,0.0,48.0,39
48.0,4,12.0,0,4,1,4,0,0.0,0.0,40.0,9
32.0,1,9.0,4,8,3,2,1,0.0,0.0,40.0,39
76.0,4,14.0,2,4,4,4,1,0.0,0.0,40.0,39
44.0,4,13.0,2,4,4,4,1,15024.0,0.0,60.0,39
47.0,6,14.0,4,10,0,4,0,0.0,0.0,50.0,39
20.0,4,10.0,4,13,3,4,0,0.0,0.0,40.0,39
29.0,4,9.0,4,3,0,4,1,0.0,0.0,40.0,39
32.0,5,9.0,2,3,4,4,1,7688.0,0.0,40.0,39
17.0,0,6.0,4,0,3,4,0,34095.0,0.0,32.0,39
30.0,4,7.0,4,6,3,4,1,0.0,0.0,40.0,39
31.0,2,9.0,4,1,0,4,0,0.0,0.0,40.0,39
42.0,4,9.0,2,6,4,4,1,0.0,0.0,40.0,39
24.0,4,13.0,4,12,2,4,1,0.0,0.0,40.0,39
38.0,4,15.0,2,10,4,4,1,0.0,0.0,40.0,39
56.0,6,9.0,2,8,4,4,1,0.0,1887.0,50.0,2
28.0,4,10.0,2,12,5,4,0,4064.0,0.0,25.0,39
36.0,4,9.0,4,7,3,4,0,0.0,0.0,40.0,39
53.0,4,5.0,2,6,4,4,1,0.0,0.0,50.0,39
56.0,5,10.0,2,12,4,4,1,0.0,0.0,50.0,39
49.0,2,11.0,2,3,4,2,1,0.0,0.0,40.0,39
55.0,4,10.0,2,12,4,4,1,0.0,0.0,56.0,39
22.0,4,9.0,4,3,0,4,1,0.0,0.0,41.0,39
21.0,4,10.0,4,8,3,4,0,0.0,0.0,40.0,39
40.0,4,13.0,2,4,4,4,1,0.0,0.0,60.0,39
30.0,4,13.0,4,4,3,2,1,0.0,0.0,40.0,11
29.0,7,13.0,2,10,4,4,1,0.0,0.0,50.0,39
19.0,4,10.0,4,8,3,2,1,0.0,0.0,35.0,39
47.0,4,13.0,2,4,5,4,0,0.0,0.0,40.0,39
20.0,4,10.0,4,1,3,4,0,0.0,1719.0,28.0,39
31.0,4,12.0,2,1,4,4,1,0.0,0.0,40.0,39
35.0,0,9.0,2,0,4,4,1,0.0,0.0,40.0,39
39.0,4,10.0,0,3,0,4,1,0.0,0.0,40.0,39
28.0,4,12.0,4,12,0,4,0,0.0,0.0,60.0,39
24.0,4,9.0,4,8,0,4,0,0.0,1762.0,40.0,39
38.0,6,9.0,2,3,4,4,1,4386.0,0.0,35.0,39
37.0,4,13.0,2,12,4,4,1,0.0,0.0,50.0,39
46.0,4,12.0,0,13,0,2,0,0.0,0.0,36.0,39
38.0,1,14.0,2,10,4,4,1,0.0,0.0,40.0,20
43.0,6,9.0,2,3,4,4,1,0.0,0.0,60.0,39
27.0,4,11.0,2,1,5,4,0,0.0,0.0,35.0,39
20.0,4,10.0,4,12,3,4,1,0.0,0.0,20.0,39
49.0,4,10.0,2,3,4,1,1,0.0,0.0,40.0,39
61.0,5,9.0,2,3,4,4,1,0.0,0.0,40.0,39
27.0,4,10.0,4,12,3,4,0,0.0,0.0,40.0,39
19.0,4,10.0,4,8,3,4,1,0.0,0.0,30.0,26
45.0,4,11.0,4,10,0,4,0,0.0,1564.0,40.0,39
70.0,4,10.0,4,13,2,4,1,0.0,0.0,40.0,39
31.0,4,9.0,4,14,1,2,0,0.0,0.0,30.0,39
22.0,4,10.0,2,8,4,4,1,0.0,0.0,24.0,39
36.0,4,9.0,6,8,1,4,0,0.0,0.0,24.0,39
64.0,4,7.0,2,3,4,4,1,0.0,2179.0,40.0,39
43.0,0,10.0,0,0,0,4,0,0.0,0.0,40.0,39
47.0,2,10.0,0,1,1,4,0,0.0,0.0,38.0,26
34.0,4,9.0,4,1,0,4,0,0.0,0.0,40.0,39
33.0,4,13.0,4,4,2,1,0,0.0,0.0,40.0,30
21.0,4,9.0,4,3,3,4,1,0.0,0.0,35.0,39
52.0,0,9.0,0,0,0,4,1,0.0,0.0,45.0,39
48.0,4,9.0,2,3,4,4,1,0.0,0.0,46.0,39
23.0,4,13.0,4,6,0,4,1,0.0,0.0,40.0,39
71.0,6,10.0,5,12,1,2,1,0.0,1816.0,2.0,39
29.0,4,9.0,0,3,0,4,1,0.0,0.0,60.0,39
42.0,4,13.0,5,8,2,2,1,0.0,0.0,50.0,39
68.0,0,2.0,0,0,0,4,0,0.0,0.0,20.0,39
25.0,4,9.0,4,8,1,4,0,0.0,0.0,40.0,39
44.0,5,14.0,0,4,1,1,0,0.0,0.0,40.0,39
28.0,4,9.0,4,4,0,1,0,0.0,0.0,40.0,9
45.0,6,14.0,2,12,4,4,1,0.0,0.0,40.0,39
36.0,4,10.0,0,8,1,4,0,0.0,0.0,40.0,26
39.0,1,12.0,4,4,0,4,1,0.0,0.0,42.0,39
46.0,7,14.0,6,11,1,4,1,0.0,0.0,40.0,39
18.0,4,7.0,4,6,3,4,1,0.0,0.0,16.0,39
66.0,2,11.0,6,10,0,4,0,0.0,0.0,20.0,39
27.0,4,9.0,4,8,0,4,1,0.0,1980.0,40.0,39
28.0,7,9.0,2,11,4,4,1,0.0,0.0,40.0,39
51.0,4,10.0,2,12,4,4,1,0.0,1977.0,40.0,39
27.0,4,13.0,4,3,0,4,1,0.0,0.0,50.0,39
28.0,7,13.0,2,10,4,4,1,0.0,0.0,40.0,39
27.0,4,9.0,3,12,1,4,0,0.0,0.0,25.0,39
21.0,4,9.0,4,3,3,2,1,0.0,0.0,40.0,39
34.0,4,9.0,4,6,0,2,1,0.0,0.0,40.0,39
18.0,4,9.0,4,8,3,4,1,0.0,0.0,12.0,39
33.0,4,13.0,2,10,4,4,1,0.0,0.0,65.0,39
44.0,2,10.0,2,4,4,2,1,0.0,0.0,38.0,39
43.0,4,10.0,0,1,0,4,0,0.0,0.0,40.0,39
30.0,4,10.0,4,3,0,2,1,0.0,0.0,45.0,39
40.0,4,4.0,2,7,4,4,1,0.0,0.0,40.0,26
37.0,1,10.0,2,1,4,4,1,0.0,0.0,42.0,39
34.0,4,9.0,2,1,4,2,1,0.0,0.0,40.0,39
41.0,6,13.0,0,4,0,4,0,0.0,0.0,40.0,39
53.0,0,13.0,0,0,0,4,0,0.0,0.0,50.0,39
31.0,4,14.0,2,10,5,4,0,0.0,0.0,50.0,39
58.0,7,16.0,2,10,4,4,1,0.0,0.0,1.0,39
38.0,4,10.0,0,7,0,2,0,0.0,0.0,28.0,39
24.0,4,10.0,2,7,4,4,1,0.0,0.0,40.0,39
41.0,2,13.0,2,3,4,2,1,0.0,0.0,40.0,39
47.0,4,10.0,2,13,4,4,1,0.0,0.0,45.0,39
41.0,1,13.0,2,13,4,4,1,0.0,0.0,24.0,39
23.0,4,3.0,2,14,2,4,1,0.0,0.0,40.0,26
36.0,4,10.0,0,3,0,4,1,0.0,0.0,40.0,39
40.0,1,14.0,4,4,0,4,0,14084.0,0.0,55.0,39
35.0,4,14.0,2,10,2,4,1,7298.0,0.0,40.0,39
24.0,6,9.0,4,12,0,4,1,0.0,0.0,40.0,39
26.0,4,14.0,4,10,0,4,0,0.0,1876.0,40.0,39
19.0,0,9.0,4,0,3,4,1,0.0,0.0,40.0,22
51.0,4,13.0,2,4,4,4,1,0.0,0.0,50.0,39
42.0,2,10.0,4,10,0,4,0,0.0,1340.0,40.0,39
37.0,7,9.0,0,1,1,4,0,0.0,0.0,35.0,39
18.0,4,7.0,4,12,3,4,0,0.0,0.0,40.0,39
36.0,4,13.0,2,8,4,2,1,7298.0,0.0,36.0,39
35.0,4,9.0,0,3,0,4,1,0.0,0.0,60.0,39
58.0,5,9.0,2,12,5,4,0,15024.0,0.0,35.0,39
17.0,4,7.0,4,12,3,4,0,0.0,0.0,12.0,39
44.0,2,9.0,2,14,4,2,1,0.0,0.0,40.0,39
37.0,4,9.0,2,3,4,4,1,0.0,0.0,40.0,39
35.0,4,10.0,4,12,0,0,0,0.0,0.0,40.0,39
60.0,4,9.0,2,3,4,1,1,0.0,0.0,40.0,39
54.0,5,4.0,2,7,4,4,1,0.0,0.0,40.0,39
37.0,4,13.0,4,4,0,2,1,0.0,0.0,60.0,39
50.0,4,12.0,0,12,0,4,0,0.0,0.0,40.0,39
38.0,4,13.0,2,12,4,4,1,0.0,0.0,50.0,31
45.0,4,13.0,2,10,4,4,1,0.0,0.0,55.0,39
25.0,4,6.0,4,3,0,4,1,0.0,0.0,40.0,39
31.0,4,10.0,2,6,4,4,1,0.0,0.0,40.0,39
64.0,0,2.0,0,0,0,4,1,0.0,0.0,40.0,39
90.0,4,9.0,4,8,0,2,1,0.0,2206.0,40.0,39
54.0,4,9.0,2,1,4,2,1,0.0,0.0,20.0,39
53.0,2,1.0,4,7,0,4,0,0.0,0.0,35.0,39
18.0,4,9.0,4,12,3,4,0,0.0,0.0,40.0,39
60.0,0,6.0,0,0,0,0,0,0.0,0.0,10.0,39
66.0,6,9.0,2,5,4,4,1,1409.0,0.0,50.0,39
75.0,4,11.0,6,1,0,4,0,0.0,0.0,20.0,4
65.0,4,9.0,0,1,0,4,0,0.0,0.0,40.0,39
35.0,4,7.0,5,14,0,2,1,3674.0,0.0,40.0,39
41.0,4,9.0,0,12,1,2,0,0.0,0.0,38.0,39
25.0,4,10.0,4,1,0,4,1,0.0,0.0,42.0,39
33.0,4,10.0,0,3,2,3,0,0.0,0.0,40.0,39
28.0,4,15.0,4,10,0,4,1,0.0,0.0,55.0,39
59.0,7,9.0,2,8,4,4,1,0.0,0.0,40.0,39
40.0,7,10.0,4,1,0,4,0,0.0,0.0,38.0,39
41.0,4,13.0,2,4,4,4,1,0.0,0.0,50.0,20
38.0,2,14.0,2,4,4,4,1,0.0,0.0,70.0,39
23.0,4,9.0,4,14,3,4,1,0.0,0.0,40.0,39
40.0,4,13.0,2,10,4,4,1,0.0,0.0,40.0,39
41.0,6,9.0,2,8,5,4,0,0.0,0.0,20.0,39
24.0,7,12.0,2,11,4,4,1,0.0,0.0,50.0,39
20.0,0,10.0,4,0,3,4,1,0.0,0.0,20.0,39
38.0,4,10.0,0,3,0,4,1,0.0,1741.0,40.0,39
56.0,4,9.0,2,1,4,4,1,0.0,0.0,35.0,0
58.0,4,9.0,2,1,4,4,1,0.0,0.0,45.0,39
32.0,4,9.0,4,8,0,4,0,0.0,0.0,34.0,39
40.0,4,12.0,2,13,4,4,1,0.0,1977.0,60.0,39
45.0,4,9.0,2,1,4,4,1,0.0,0.0,40.0,0
41.0,4,15.0,2,10,5,4,0,0.0,0.0,40.0,39
42.0,4,13.0,2,1,5,2,0,0.0,0.0,40.0,39
59.0,2,6.0,6,8,1,2,0,0.0,0.0,30.0,39
19.0,2,10.0,4,1,3,4,1,0.0,0.0,40.0,39
58.0,4,10.0,4,14,0,4,1,0.0,0.0,20.0,39
42.0,6,9.0,2,5,4,1,1,0.0,0.0,40.0,1
20.0,4,9.0,4,8,3,4,0,0.0,0.0,40.0,39
32.0,4,9.0,5,8,0,4,0,0.0,0.0,30.0,39
45.0,4,11.0,6,4,0,4,0,0.0,0.0,45.0,39
50.0,4,4.0,0,3,0,4,1,0.0,0.0,40.0,39
36.0,4,13.0,0,10,3,4,0,0.0,0.0,40.0,39
45.0,4,9.0,2,12,4,4,1,0.0,0.0,60.0,39
17.0,4,7.0,4,8,3,4,1,0.0,0.0,12.0,39
59.0,4,10.0,2,12,4,4,1,4064.0,0.0,40.0,39
26.0,4,7.0,2,3,4,4,1,0.0,0.0,40.0,39
37.0,5,10.0,2,4,4,1,1,0.0,0.0,75.0,37
19.0,0,10.0,4,0,3,4,1,0.0,0.0,24.0,2
64.0,4,9.0,2,4,4,4,1,0.0,0.0,40.0,39
33.0,4,13.0,4,10,0,4,0,0.0,0.0,45.0,39
33.0,4,9.0,2,3,5,4,0,0.0,0.0,40.0,39
61.0,4,9.0,2,4,4,4,1,0.0,0.0,40.0,39
17.0,4,5.0,4,8,3,4,1,1055.0,0.0,24.0,39
50.0,6,14.0,2,5,4,4,1,2407.0,0.0,98.0,39
27.0,2,14.0,4,10,3,4,1,0.0,0.0,35.0,39
30.0,4,9.0,0,10,3,4,0,0.0,0.0,40.0,39
43.0,4,9.0,2,6,4,2,1,0.0,0.0,40.0,39
44.0,4,10.0,2,3,4,4,1,7298.0,0.0,40.0,39
35.0,4,10.0,4,4,0,4,0,0.0,0.0,40.0,39
25.0,4,10.0,4,13,3,4,0,0.0,0.0,40.0,39
24.0,4,10.0,2,7,5,4,0,7298.0,0.0,48.0,39
22.0,4,13.0,4,10,0,4,0,0.0,0.0,15.0,11
42.0,2,10.0,2,3,4,4,1,5178.0,0.0,40.0,39
34.0,4,12.0,0,12,1,2,0,0.0,0.0,45.0,39
60.0,4,13.0,0,10,0,4,0,0.0,0.0,42.0,39
21.0,4,9.0,4,6,3,4,1,0.0,0.0,40.0,39
57.0,1,14.0,2,12,4,4,1,15024.0,0.0,40.0,39
41.0,4,15.0,2,10,4,4,1,0.0,0.0,60.0,39
50.0,4,10.0,0,8,0,4,1,0.0,0.0,45.0,39
25.0,4,13.0,4,4,0,4,0,0.0,0.0,40.0,39
50.0,4,4.0,2,3,4,4,1,0.0,0.0,40.0,7
36.0,4,13.0,2,10,4,4,1,0.0,0.0,45.0,39
31.0,4,9.0,0,10,0,4,0,0.0,0.0,40.0,39
29.0,2,13.0,4,11,0,4,1,0.0,0.0,56.0,39
21.0,4,10.0,4,12,3,4,1,0.0,0.0,45.0,39
27.0,4,13.0,4,13,1,2,0,0.0,0.0,40.0,39
65.0,4,9.0,2,14,4,4,1,0.0,0.0,16.0,39
37.0,5,13.0,0,12,0,4,0,0.0,0.0,60.0,39
39.0,0,14.0,2,0,5,1,0,3464.0,0.0,40.0,0
24.0,4,9.0,4,3,3,4,1,0.0,0.0,40.0,39
38.0,4,9.0,0,12,0,4,1,0.0,0.0,80.0,39
48.0,4,13.0,2,1,4,4,1,7688.0,0.0,40.0,39
21.0,4,10.0,4,8,0,1,0,0.0,0.0,25.0,39
31.0,4,9.0,2,14,4,4,1,0.0,0.0,45.0,39
55.0,4,9.0,2,12,4,4,1,4386.0,0.0,40.0,39
24.0,4,10.0,2,1,5,1,0,0.0,0.0,40.0,25
43.0,4,9.0,0,1,0,4,0,0.0,0.0,40.0,39
26.0,4,12.0,4,13,0,4,1,0.0,0.0,45.0,39
46.0,4,12.0,4,10,0,4,0,0.0,0.0,33.0,39
35.0,4,12.0,2,1,4,4,1,0.0,0.0,40.0,39
41.0,5,10.0,2,5,4,4,1,0.0,0.0,54.0,39
26.0,4,13.0,4,12,0,4,1,0.0,0.0,40.0,39
34.0,4,14.0,2,4,4,1,1,7298.0,0.0,35.0,36
19.0,0,10.0,4,0,3,2,0,0.0,0.0,25.0,39
36.0,6,13.0,0,10,0,2,0,0.0,0.0,40.0,39
22.0,4,10.0,4,12,3,4,1,0.0,0.0,15.0,39
24.0,4,10.0,4,7,0,4,1,0.0,0.0,40.0,39
77.0,6,10.0,2,12,4,4,1,0.0,0.0,40.0,39
22.0,4,3.0,2,7,2,4,0,0.0,0.0,40.0,26
29.0,4,10.0,4,13,0,4,0,0.0,0.0,40.0,39
62.0,4,9.0,6,8,0,4,0,0.0,0.0,24.0,39
39.0,6,9.0,2,4,4,4,1,0.0,0.0,40.0,39
43.0,4,10.0,2,3,4,4,1,0.0,1485.0,50.0,39
35.0,4,9.0,0,14,0,4,1,0.0,0.0,45.0,39
29.0,4,7.0,4,4,0,4,0,0.0,0.0,40.0,39
76.0,6,14.0,2,3,4,4,1,0.0,0.0,10.0,39
63.0,6,9.0,2,5,4,4,1,0.0,0.0,45.0,39
23.0,0,11.0,4,0,3,2,0,0.0,0.0,15.0,39
43.0,4,10.0,2,10,5,4,0,0.0,1887.0,50.0,39
58.0,6,9.0,2,6,4,4,1,0.0,0.0,40.0,39
66.0,4,9.0,4,14,0,4,1,2050.0,0.0,55.0,39
41.0,4,10.0,4,3,0,2,1,0.0,0.0,45.0,39
26.0,4,13.0,4,1,0,4,1,0.0,0.0,40.0,39
47.0,4,11.0,4,8,0,4,1,0.0,0.0,40.0,39
55.0,2,6.0,2,1,4,4,1,0.0,0.0,40.0,39
53.0,4,9.0,2,14,4,4,1,0.0,0.0,40.0,39
17.0,4,3.0,4,8,2,4,1,0.0,0.0,48.0,26
30.0,4,9.0,4,3,2,4,1,0.0,0.0,40.0,39
49.0,4,14.0,4,10,0,4,1,0.0,0.0,60.0,39
19.0,4,9.0,4,12,1,2,1,0.0,0.0,30.0,14
45.0,4,9.0,2,8,4,2,1,0.0,0.0,40.0,39
26.0,4,12.0,4,12,0,4,1,0.0,0.0,40.0,39
38.0,4,11.0,2,3,4,4,1,7298.0,0.0,40.0,39
36.0,7,9.0,2,11,4,4,1,7298.0,0.0,40.0,39
33.0,4,9.0,4,5,0,4,1,0.0,0.0,20.0,39
22.0,7,10.0,4,11,3,2,0,0.0,0.0,40.0,39
43.0,6,13.0,4,12,0,4,1,0.0,0.0,42.0,39
67.0,0,7.0,2,0,4,4,1,0.0,0.0,8.0,39
30.0,0,11.0,0,0,1,4,0,0.0,0.0,40.0,39
56.0,4,12.0,3,8,0,4,1,0.0,0.0,25.0,20
31.0,4,13.0,4,10,3,4,1,0.0,0.0,25.0,39
33.0,4,13.0,2,4,4,4,1,0.0,0.0,40.0,39
26.0,4,9.0,2,8,4,4,1,0.0,0.0,40.0,39
33.0,4,13.0,2,4,4,4,1,0.0,0.0,40.0,39
46.0,2,7.0,2,14,4,4,1,0.0,0.0,30.0,39
59.0,0,13.0,2,0,4,4,1,0.0,0.0,40.0,39
38.0,1,9.0,2,1,4,4,1,0.0,0.0,40.0,39
65.0,4,7.0,6,8,1,3,1,0.0,0.0,40.0,39
40.0,4,11.0,2,13,4,4,1,0.0,0.0,40.0,39
42.0,4,9.0,2,1,5,4,0,0.0,0.0,35.0,39
26.0,6,5.0,2,3,4,4,1,0.0,0.0,40.0,32
36.0,4,6.0,2,8,5,4,0,0.0,0.0,24.0,39
62.0,4,14.0,2,10,4,4,1,0.0,0.0,40.0,39
43.0,4,13.0,2,14,4,4,1,0.0,0.0,45.0,39
43.0,4,13.0,0,4,0,4,1,0.0,1564.0,45.0,39
22.0,4,9.0,3,12,0,4,1,0.0,0.0,55.0,39
28.0,4,9.0,2,3,4,4,1,0.0,0.0,40.0,39
56.0,6,10.0,2,12,4,4,1,0.0,0.0,45.0,39
22.0,4,12.0,4,12,0,4,0,0.0,0.0,15.0,39
57.0,4,13.0,0,4,0,4,0,0.0,0.0,45.0,39
39.0,4,9.0,0,12,1,4,0,0.0,0.0,40.0,39
26.0,1,10.0,4,1,1,4,0,0.0,0.0,15.0,39
17.0,4,7.0,4,8,3,4,1,0.0,0.0,10.0,39
40.0,7,11.0,2,7,4,4,1,0.0,0.0,38.0,39
45.0,4,9.0,2,7,4,2,1,0.0,0.0,40.0,39
44.0,4,9.0,4,3,0,2,1,0.0,0.0,40.0,39
20.0,2,10.0,4,1,3,4,0,0.0,0.0,10.0,39
33.0,4,9.0,2,3,5,4,0,0.0,0.0,40.0,39
23.0,4,10.0,4,12,0,4,1,0.0,0.0,40.0,39
46.0,6,14.0,0,4,0,4,1,0.0,0.0,30.0,39
38.0,4,9.0,2,12,4,4,1,0.0,0.0,50.0,39
54.0,4,9.0,0,14,0,4,1,0.0,0.0,40.0,39
46.0,4,3.0,0,3,0,4,0,0.0,2339.0,45.0,39
25.0,4,10.0,2,3,4,4,1,0.0,0.0,40.0,39
46.0,4,10.0,0,12,0,4,0,0.0,0.0,40.0,39
36.0,2,10.0,2,14,5,4,0,0.0,0.0,40.0,39
23.0,4,9.0,4,8,0,4,0,0.0,0.0,25.0,39
29.0,4,9.0,5,7,0,4,1,0.0,0.0,40.0,39
44.0,4,10.0,2,1,5,4,0,0.0,2415.0,6.0,39
19.0,4,10.0,4,1,3,4,0,0.0,0.0,16.0,39
19.0,4,9.0,4,8,2,4,0,0.0,0.0,40.0,39
35.0,4,9.0,2,8,5,4,0,0.0,0.0,40.0,39
27.0,4,13.0,4,3,0,4,1,0.0,0.0,50.0,39
46.0,6,12.0,5,3,0,4,1,0.0,0.0,40.0,39
34.0,7,13.0,2,4,4,4,1,7688.0,0.0,45.0,0
34.0,4,9.0,4,8,0,4,0,0.0,0.0,35.0,39
44.0,4,10.0,2,13,4,4,1,0.0,0.0,40.0,39
45.0,4,10.0,0,6,1,4,0,0.0,0.0,40.0,39
20.0,0,9.0,4,0,2,4,0,0.0,0.0,35.0,39
25.0,4,13.0,2,4,4,4,1,0.0,0.0,55.0,39
52.0,5,13.0,2,4,4,4,1,0.0,0.0,50.0,39
20.0,4,10.0,4,6,3,4,1,0.0,0.0,40.0,39
28.0,4,10.0,4,8,0,4,0,0.0,0.0,40.0,39
50.0,7,13.0,2,11,4,4,1,0.0,0.0,40.0,39
34.0,4,11.0,0,13,0,4,0,0.0,0.0,64.0,39
28.0,4,4.0,2,6,4,3,1,0.0,2179.0,40.0,33
41.0,4,14.0,2,4,4,4,1,0.0,1977.0,65.0,39
